Date,Australia,Belgium,Brazil,Canada,Chile,Denmark,Finland,France,Germany,Hong Kong,India,Ireland,Israel,Italy,Luxembourg,Netherlands,New Zealand,Norway,Portugal,Singapore,South Africa,South Korea,Spain,Sweden,Switzerland,United Arab Emirates,United Kingdom,United States
5/1/20,1.35021487,1.304862019,1.297357175,1.408848372,1.557755417,1.218311089,1.238597094,1.2314602,1.199741567,1.208438964,1.425255591,1.415652001,1.121381357,1.390616896,1.412182417,1.24251915,1.495212188,1.225585491,1.162300048,1.276018567,1.587183657,1.280275632,1.303990205,1.17728727,1.1534872,1.361855726,1.33770727,1.299269394
6/1/20,1.345013833,1.309521792,1.301327396,1.427444161,1.571274943,1.230610888,1.181250375,1.251218491,1.211787808,1.282449343,1.429167275,1.455079243,1.126787149,1.367196019,1.433372352,1.256889797,1.512908749,1.17175034,1.15300222,1.293691637,1.568564019,1.272869539,1.29552689,1.180488271,1.137561812,1.400223362,1.333923924,1.31616367
7/1/20,1.33864735,1.298787512,1.312923251,1.434230559,1.608838763,1.243282897,1.190846414,1.254610215,1.212832057,1.272024221,1.424882024,1.438181213,1.157135473,1.361712357,1.434670281,1.251033578,1.476768674,1.169583031,1.193038213,1.304457588,1.473133069,1.312543146,1.292981218,1.203095516,1.140830373,1.445220192,1.325739783,1.326811051
8/1/20,1.346900842,1.260839339,1.309153238,1.42420104,1.635764051,1.227909458,1.171500528,1.236107243,1.223302437,1.317776768,1.45179552,1.387509857,1.180912674,1.397905308,1.487860583,1.259346937,1.542772742,1.168537301,1.205554022,1.305504854,1.484750775,1.322085589,1.292217279,1.153840093,1.148465184,1.493908963,1.321336298,1.321376633
9/1/20,1.319923058,1.259493639,1.314239024,1.431762,1.617682335,1.237315588,1.184512025,1.247460391,1.230050896,1.24481197,1.468954019,1.361620035,1.172207032,1.389655948,1.436843252,1.255502579,1.545992261,1.177610311,1.210774917,1.310856245,1.4025122,1.347212108,1.281754403,1.144818722,1.175480122,1.479395837,1.329480456,1.317581188
10/1/20,1.318466181,1.258703353,1.319512629,1.439010915,1.543917727,1.243345293,1.167292785,1.25298758,1.236740961,1.214129208,1.484243127,1.381605607,1.187560077,1.362506384,1.34823897,1.27947456,1.536737207,1.176269058,1.217315683,1.283464662,1.407446301,1.318926138,1.281660494,1.166473615,1.212490764,1.488843735,1.340561835,1.323547049
11/1/20,1.301142083,1.2503127,1.308205531,1.439638564,1.557832502,1.242800278,1.196872139,1.258414624,1.242236928,1.237046559,1.494749054,1.407567884,1.189403985,1.377678817,1.312169495,1.292702049,1.509135319,1.145273225,1.229068014,1.277464324,1.466628678,1.343710255,1.2773029,1.195009743,1.23630999,1.525955369,1.341542212,1.329318167
12/1/20,1.277963871,1.271507577,1.330160297,1.452188132,1.557664924,1.250512337,1.171356402,1.286834449,1.219615529,1.216753199,1.499624268,1.372176223,1.172449564,1.404719586,1.358644646,1.282258782,1.438463119,1.150450275,1.23263678,1.297071307,1.469798373,1.312504502,1.277949158,1.188350346,1.212979759,1.556405976,1.309597655,1.336907432
1/1/21,1.268569607,1.276503359,1.298326169,1.45324766,1.536782646,1.266104698,1.18467434,1.304456704,1.210847215,1.202012661,1.485758348,1.37120708,1.19752836,1.411020577,1.356689178,1.293426953,1.432742896,1.17587566,1.229432242,1.299696805,1.451706311,1.312712973,1.281309235,1.181276274,1.204518852,1.532154698,1.323468039,1.354631804
2/1/21,1.251523651,1.287804546,1.288909732,1.442436686,1.458041611,1.247145519,1.196558179,1.308237274,1.211161818,1.2090737,1.483682351,1.396720203,1.212351042,1.417489814,1.458322081,1.273824864,1.38620374,1.174080606,1.233953035,1.281092169,1.390513991,1.316533066,1.282834448,1.195665516,1.213526114,1.522503776,1.31763601,1.356337347
3/1/21,1.235371789,1.276258237,1.267379127,1.430381963,1.470846254,1.241318192,1.17560723,1.275862065,1.20015472,1.210448107,1.46776321,1.356211011,1.194523264,1.367982291,1.330984046,1.246557246,1.313354692,1.149169784,1.242884852,1.272624796,1.370776331,1.272401239,1.235019084,1.206523602,1.215058156,1.489503414,1.298588882,1.328908127
4/1/21,1.221641449,1.197700672,1.210459142,1.352519906,1.366869145,1.246826769,1.171604696,1.211277027,1.172458806,1.194908693,1.35792065,1.273628339,1.15768878,1.288208238,1.382118423,1.204573357,1.242514731,1.173999149,1.194242327,1.250052223,1.393803261,1.219572704,1.174141896,1.222499479,1.226762081,1.493103474,1.247438355,1.270034218
5/1/21,1.188193291,1.168209701,1.204754335,1.278046724,1.266621692,1.235024467,1.168056851,1.11577254,1.152719506,1.168851409,1.308201423,1.195401049,1.134324302,1.219626804,1.405149484,1.186006681,1.145521046,1.167682845,1.243950416,1.173410746,1.333043451,1.143349328,1.15742651,1.212245351,1.197281134,1.330912608,1.194723666,1.208729495
6/1/21,1.212420996,1.148136644,1.19783323,1.231424221,1.277458375,1.184998078,1.175864424,1.077067814,1.136019175,1.09336431,1.298320127,1.129336467,1.128228774,1.211331104,1.390506983,1.168502629,1.143428737,1.173025036,1.250701064,1.144609906,1.284838272,1.147831506,1.17499027,1.227473968,1.211445153,1.270174485,1.169029421,1.168047454
7/1/21,1.213411312,1.095600708,1.175753242,1.225345165,1.243105887,1.188987772,1.186969943,1.059587528,1.126185747,1.10669344,1.295077161,1.124291573,1.111561964,1.198630207,1.367133707,1.171468129,1.213771092,1.177733345,1.214684862,1.118999625,1.335630334,1.104740331,1.172778761,1.203978236,1.18771815,1.227822826,1.175559862,1.146274427
8/1/21,1.207105418,1.094597855,1.170590684,1.214532864,1.161110686,1.192521987,1.182264428,1.064860205,1.114133677,1.082009936,1.249287913,1.128006819,1.116349745,1.170163999,1.314603796,1.175780861,1.139934271,1.166747224,1.179047373,1.095948464,1.325223147,1.095661759,1.166319185,1.21556721,1.183194767,1.199979079,1.178684212,1.138832808
9/1/21,1.22937223,1.088979571,1.140395349,1.197344459,1.144839535,1.180269435,1.165705116,1.058217944,1.105477233,1.104408708,1.214333703,1.116863104,1.143166085,1.157632872,1.372071372,1.188516928,1.130705217,1.168184536,1.198059744,1.094816433,1.299580253,1.07163646,1.162801245,1.212733286,1.147416618,1.170124095,1.170780978,1.14010207
10/1/21,1.220794276,1.064555959,1.119729531,1.196976728,1.125025709,1.154266401,1.167810516,1.063130841,1.100353639,1.088321977,1.193045711,1.09983171,1.138350166,1.150113525,1.350380798,1.176678876,1.125654725,1.166269776,1.187155991,1.116864333,1.260828079,1.052165817,1.153034787,1.175551952,1.108287411,1.125105421,1.165530103,1.136053164
11/1/21,1.223203222,1.044763972,1.107338316,1.190225344,1.090509887,1.147438535,1.133199621,1.060573588,1.092926189,1.064005653,1.161945442,1.055212539,1.136340432,1.121436501,1.306376191,1.178982548,1.117438574,1.162349177,1.184320486,1.116900501,1.200058189,1.018168782,1.141712844,1.173888847,1.086075134,1.096615291,1.16381293,1.130628842
12/1/21,1.220723554,1.021843745,1.080364419,1.159693482,1.033225924,1.135909567,1.142318966,1.047548972,1.099009075,1.082812589,1.143504314,1.062707635,1.137320137,1.072664791,1.236159845,1.182852612,1.123534924,1.150831261,1.164355562,1.104501047,1.194712521,0.988508775,1.12126539,1.198288186,1.086265836,1.037523604,1.173404786,1.126252156
1/1/22,1.227804976,1.009693976,1.086565824,1.147376244,1.03348606,1.107081409,1.13307643,1.050849128,1.093883605,1.10691781,1.127407823,1.041494745,1.11467763,1.040007771,1.227970343,1.188101312,1.107108844,1.144059224,1.140152011,1.093972073,1.158781534,0.981924817,1.107050772,1.180852374,1.077400961,1.021102273,1.166222328,1.113524794
2/1/22,1.249890097,0.996024591,1.075361403,1.146146282,1.023426886,1.109924038,1.113690021,1.056134068,1.095730989,1.117787545,1.103407661,1.002118613,1.09917466,1.028321136,1.106985837,1.211878846,1.114226191,1.140518198,1.12583005,1.09503742,1.1675453,0.971622661,1.091848171,1.163278496,1.066704661,1.003556354,1.167852972,1.110683688
3/1/22,1.263773479,0.98595921,1.077059176,1.141098536,1.01392606,1.114834317,1.110053417,1.065711212,1.101032078,1.108347753,1.082795895,0.998252325,1.106032588,1.044795064,1.11940414,1.229255555,1.105656997,1.137943039,1.113471043,1.108198808,1.161600849,0.964631245,1.103994906,1.160241972,1.063761466,0.982597981,1.167802141,1.110317304
4/1/22,1.267831324,1.006014255,1.083514828,1.158930378,1.027807944,1.100112053,1.116960457,1.084636626,1.114097854,1.087138639,1.085038832,1.005724823,1.109616083,1.049011228,1.058627988,1.243415529,1.111853565,1.118928712,1.097201745,1.112135791,1.117058283,0.995567869,1.110849693,1.124453069,1.051842556,0.966496415,1.182861101,1.122899059
5/1/22,1.27363978,1.020035498,1.06311906,1.191492515,1.03296366,1.093332838,1.111355514,1.131746873,1.130365763,1.12185535,1.087487699,1.038314473,1.126255499,1.067223075,1.006451259,1.2591532,1.139987448,1.152184216,1.052177073,1.144113273,1.113443223,1.009754388,1.102485189,1.126663002,1.058417385,0.987186173,1.213666527,1.166706714
6/1/22,1.243655409,1.023405053,1.041801228,1.216239122,1.020041382,1.128580779,1.107544928,1.169349651,1.136285181,1.166590233,1.065842477,1.05648861,1.110155589,1.057547498,0.963508503,1.264086499,1.12173516,1.147061572,1.030984285,1.153685297,1.11887503,0.997864691,1.081677351,1.122026771,1.037595114,0.990617932,1.236277855,1.193203007
7/1/22,1.220307796,1.062225323,1.031808529,1.207928449,0.992421398,1.111634939,1.089503403,1.193804824,1.140640831,1.165632282,1.047163651,1.042268471,1.105593853,1.061143174,0.980235523,1.259669341,1.089788747,1.12023817,1.038394041,1.164606954,1.093821315,1.011949897,1.079927991,1.112867017,1.06094576,0.999641437,1.23656991,1.197558526
8/1/22,1.202521738,1.063076174,1.020036547,1.205545988,1.027935021,1.123926031,1.101330304,1.190031305,1.145003311,1.154380827,1.036911378,1.058768335,1.088393564,1.070352623,0.990740898,1.24649027,1.110929424,1.124971159,1.081604755,1.180103333,1.081729214,1.007855644,1.078082646,1.107726463,1.047871786,1.001254504,1.24189697,1.205072078
9/1/22,1.16703404,1.05920741,1.016017073,1.225493237,1.052107973,1.126463437,1.113005788,1.199452811,1.150416748,1.159917161,1.018734672,1.068268808,1.053068545,1.070083916,0.9345028,1.240331354,1.12029153,1.114908973,1.054716078,1.168959374,1.098417484,1.019571973,1.087896695,1.110070087,1.073963728,1.017190981,1.248174614,1.206719822
10/1/22,1.15258749,1.084630472,1.00984658,1.20693863,1.070860288,1.141972281,1.105909849,1.206068972,1.152716655,1.182833148,0.989159681,1.082461965,1.042754848,1.081530139,0.946822227,1.236579677,1.082810901,1.124473869,1.035333056,1.154323744,1.087799667,1.024945468,1.104527462,1.131697287,1.086677962,1.055132536,1.255153127,1.197347488
11/1/22,1.141949891,1.102720397,1.00313433,1.186552708,1.065926791,1.148437187,1.118247872,1.206212152,1.154026157,1.205499167,0.967362998,1.105036536,1.018397302,1.089962589,1.037987973,1.231763172,1.081424614,1.128756183,1.015364338,1.141214177,1.105219607,1.027743775,1.109111923,1.12031016,1.095516254,1.048980587,1.258482306,1.177670837
12/1/22,1.119546258,1.106361794,0.99572589,1.17490356,1.049683643,1.141788527,1.083015655,1.186946548,1.134520886,1.212127652,0.9389521,1.080320469,0.999302702,1.11472524,1.033313123,1.213785039,1.085509986,1.095827953,1.013057486,1.132022021,1.104263536,1.045964819,1.123449136,1.091621232,1.092251005,1.07775611,1.253682251,1.152076814
