Date,FLOP/s (Log Scale)
6/22/12,3.315E+12
6/22/12,4.301E+12
6/26/12,1.004E+11
6/27/12,6.912E+11
7/1/12,5.76E+11
7/1/12,4.8E+11
7/1/12,1.024E+12
7/11/12,4.51E+11
7/12/12,6.912E+11
8/7/12,2.711E+11
8/7/12,2.169E+12
8/7/12,1.267E+12
8/7/12,1.615E+12
8/7/12,1.267E+12
8/16/12,2.634E+12
8/17/12,2.169E+12
8/20/12,2.692E+11
8/21/12,2.088E+12
8/22/12,2.046E+12
8/23/12,1.824E+11
8/24/12,2.867E+12
8/24/12,3.226E+12
8/27/12,2.432E+12
8/31/12,3.789E+12
9/1/12,3.256E+11
9/6/12,8.125E+11
9/6/12,1.981E+12
9/9/12,1.152E+11
9/17/12,2.58E+11
10/1/12,1.154E+12
10/1/12,5.445E+11
10/1/12,2.4E+11
10/1/12,1.256E+12
10/1/12,96000000000
10/2/12,2.918E+11
10/2/12,1.843E+11
10/2/12,3.891E+11
10/2/12,5.837E+11
10/2/12,1.628E+11
10/9/12,44160000000
10/9/12,1.425E+12
10/23/12,2.209E+12
10/23/12,3.06E+11
10/28/12,1.04E+11
11/12/12,3.405E+12
11/12/12,3.935E+12
11/12/12,3.52E+12
11/12/12,3.405E+12
11/12/12,5.016E+11
11/12/12,5.368E+11
11/12/12,3.935E+12
11/12/12,5.054E+11
11/18/12,1.76E+11
11/19/12,2.995E+12
11/23/12,4.4E+11
1/5/13,3.524E+12
1/6/13,44860000000
1/8/13,8.064E+11
1/8/13,2.368E+12
1/9/13,2.976E+11
1/9/13,7.427E+11
1/9/13,2.976E+11
1/9/13,2.976E+11
1/14/13,2.72E+12
1/20/13,5.568E+11
1/25/13,2.169E+12
2/1/13,4.16E+11
2/2/13,4.608E+11
2/2/13,4.608E+11
2/3/13,5.722E+11
2/17/13,49490000000
2/18/13,2.87E+12
2/18/13,1.678E+11
2/19/13,4.709E+12
2/25/13,1.267E+12
2/25/13,1.267E+12
2/26/13,5.952E+11
3/1/13,5.28E+11
3/1/13,5.28E+11
3/1/13,3.364E+11
3/1/13,1.244E+12
3/1/13,5.28E+11
3/1/13,6.24E+11
3/1/13,7.327E+11
3/1/13,6.336E+11
3/1/13,5.28E+11
3/1/13,5.28E+11
3/1/13,7.327E+11
3/7/13,2.867E+12
3/10/13,1.004E+11
3/12/13,1.843E+11
3/12/13,6.482E+11
3/15/13,1.344E+12
3/18/13,3.264E+11
3/20/13,5.2E+11
3/20/13,5.2E+11
3/22/13,1.792E+12
3/26/13,1.585E+12
3/27/13,2.432E+12
3/27/13,3.405E+12
3/27/13,3.226E+12
3/31/13,1.425E+12
4/1/13,1.933E+12
4/1/13,9.92E+11
4/1/13,7.027E+11
4/1/13,2.4E+11
4/1/13,2.4E+11
4/1/13,5.376E+11
4/1/13,2.976E+11
4/1/13,4.416E+11
4/1/13,6.874E+11
4/1/13,6.336E+11
4/1/13,7.296E+11
4/1/13,6.912E+11
4/1/13,8E+11
4/1/13,8E+11
4/1/13,5.376E+11
4/3/13,3.25E+12
4/19/13,1.008E+12
4/22/13,9.492E+11
4/23/13,1.536E+11
4/23/13,1.272E+11
4/23/13,1.152E+11
4/23/13,76800000000
4/24/13,4.096E+12
4/24/13,4.096E+12
4/24/13,5.2E+11
4/29/13,1.36E+11
4/29/13,1.6E+11
5/1/13,6.144E+11
5/11/13,2.289E+12
5/11/13,2.448E+12
5/14/13,2.304E+12
5/14/13,1.651E+12
5/23/13,1.024E+11
5/23/13,5.53E+11
5/23/13,4.808E+11
5/23/13,3.379E+11
5/23/13,4.321E+11
5/23/13,4.156E+12
5/23/13,4.255E+11
5/23/13,2.304E+11
5/23/13,2.765E+11
5/27/13,6.4E+11
5/27/13,7.04E+11
5/27/13,7.68E+11
5/27/13,3.52E+11
5/29/13,8.033E+11
5/29/13,6.927E+11
5/29/13,6.927E+11
5/30/13,1.326E+12
5/30/13,1.53E+12
5/30/13,3.333E+12
5/30/13,1.009E+12
6/1/13,3.84E+11
6/1/13,4.16E+11
6/3/13,3.52E+11
6/3/13,7.36E+11
6/10/13,2.4E+11
6/17/13,5.054E+11
6/17/13,6.505E+11
6/17/13,6.505E+11
6/20/13,7.526E+11
6/25/13,7.526E+11
6/25/13,2.378E+12
6/27/13,2.046E+12
6/28/13,2.289E+12
6/28/13,2.289E+12
6/28/13,2.289E+12
6/28/13,2.289E+12
6/28/13,3.264E+11
6/28/13,3.264E+11
6/28/13,3.264E+11
6/28/13,3.264E+11
7/10/13,4.096E+11
7/23/13,6.24E+11
7/23/13,2.8E+11
7/23/13,1.627E+12
7/23/13,5.422E+11
7/23/13,3.763E+11
7/23/13,7.684E+11
7/23/13,7.327E+11
7/23/13,5.196E+12
7/23/13,2.289E+12
7/23/13,2.369E+12
7/23/13,3.414E+11
7/23/13,6.24E+11
7/23/13,1.084E+12
7/23/13,5.196E+12
7/24/13,2.911E+11
7/29/13,3.072E+11
8/13/13,1.272E+11
8/25/13,2.634E+12
8/25/13,2.046E+12
8/26/13,7.526E+11
8/26/13,7.027E+11
9/2/13,2.72E+11
9/2/13,1.882E+12
9/2/13,41340000000
9/3/13,3.04E+11
9/3/13,3.68E+11
9/5/13,8.192E+11
9/5/13,6.144E+11
9/10/13,4.156E+12
9/10/13,4.156E+12
9/18/13,1.152E+11
9/18/13,1.152E+11
9/27/13,1.417E+11
9/27/13,1.417E+11
9/27/13,2.634E+12
10/1/13,1.417E+11
10/1/13,7.427E+11
10/8/13,4.48E+11
10/8/13,4.096E+12
10/8/13,9.472E+11
10/8/13,1.971E+12
10/8/13,4.992E+11
10/8/13,7.168E+11
10/8/13,8.064E+11
10/8/13,5.046E+12
10/8/13,8.064E+11
10/8/13,2.688E+12
10/16/13,5.491E+11
10/16/13,9.92E+11
10/16/13,1.651E+12
10/16/13,5.146E+11
10/24/13,5.632E+12
10/25/13,6.24E+11
11/1/13,4.992E+11
11/1/13,5.99E+11
11/1/13,1.024E+11
11/5/13,4.8486E+12
11/7/13,5.345E+12
11/8/13,7.112E+11
11/8/13,2.142E+12
11/8/13,8.333E+11
11/8/13,2.448E+12
11/13/13,2.368E+12
11/19/13,2.47E+12
11/22/13,5.046E+12
11/22/13,1.31E+12
11/22/13,3.312E+12
11/22/13,5.05E+12
11/22/13,5.046E+12
11/22/13,5.046E+12
11/23/13,1.536E+11
11/23/13,1.536E+11
11/24/13,1.843E+12
11/27/13,2.976E+11
11/27/13,2.4E+11
12/17/13,1.536E+12
12/20/13,8.192E+11
12/21/13,1.971E+12
12/21/13,1.04E+11
12/21/13,2E+11
12/21/13,2.48E+11
12/21/13,2.8E+11
12/21/13,9.523E+11
12/25/13,2.911E+11
12/28/13,6.482E+11
1/1/14,7.526E+11
1/1/14,2.48E+11
1/1/14,6.592E+11
1/1/14,4.992E+11
1/1/14,7.219E+11
1/7/14,5.472E+11
1/7/14,5.472E+11
1/7/14,5.472E+11
1/7/14,5.472E+11
1/7/14,5.472E+11
1/7/14,6.592E+11
1/7/14,5.472E+11
1/7/14,5.472E+11
1/9/14,6.336E+11
1/9/14,2.304E+12
1/9/14,6.336E+11
1/9/14,6.336E+11
1/10/14,4.48E+11
1/10/14,5.376E+11
1/11/14,7.373E+11
1/13/14,1.389E+12
1/18/14,2.176E+12
1/18/14,3.482E+12
1/18/14,2.227E+12
1/25/14,8E+11
1/27/14,7.227E+11
1/28/14,1.184E+12
1/28/14,1.184E+12
1/31/14,76800000000
2/13/14,1.216E+12
2/13/14,1.894E+12
2/17/14,4.255E+11
2/17/14,5.53E+11
2/18/14,1.111E+12
2/18/14,1.389E+12
2/18/14,5.645E+12
2/18/14,7.933E+11
3/1/14,3.405E+12
3/4/14,3.344E+12
3/6/14,5.821E+11
3/10/14,2.108E+12
3/12/14,3.05E+12
3/12/14,5.888E+11
3/12/14,2.599E+12
3/12/14,1.155E+12
3/12/14,8.632E+11
3/17/14,1.009E+12
3/17/14,2.911E+11
3/17/14,1.417E+11
3/17/14,1.198E+12
3/17/14,91200000000
3/17/14,8.632E+11
3/17/14,2.976E+11
3/21/14,9.92E+11
3/21/14,8E+11
3/24/14,1.417E+11
3/26/14,5.238E+12
3/27/14,1.678E+11
3/27/14,7.427E+11
3/27/14,3.663E+11
